Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR9722172_2	SRR9722172_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	106224.0	26.6 Mbp	0.0	42-251	50.0	7.331676457297785	250.89036375960234	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722173_1	SRR9722173_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	125065.0	31.3 Mbp	0.0	50-251	52.0	3.6485027785551516	250.95801383280693	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722173_2	SRR9722173_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	125065.0	31.3 Mbp	0.0	247-251	50.0	6.175988485987287	250.92090512933274	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722174_1	SRR9722174_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105441.0	26.4 Mbp	0.0	40-251	53.0	3.939643971510134	250.94215722536774	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722174_2	SRR9722174_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105441.0	26.4 Mbp	0.0	40-251	50.0	7.49518688176326	250.7877296307888	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722175_1	SRR9722175_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	121728.0	30.5 Mbp	0.0	38-251	52.0	3.6762289695057833	250.94500032860148	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722175_2	SRR9722175_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	121728.0	30.5 Mbp	0.0	38-251	50.0	5.3455244479495265	250.89857715562565	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722176_1	SRR9722176_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108666.0	27.2 Mbp	0.0	40-251	52.0	3.9441959766624333	250.9555150645096	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722176_2	SRR9722176_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108666.0	27.2 Mbp	0.0	40-251	50.0	6.266909612942411	250.88093791986455	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722177_1	SRR9722177_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	77320.0	19.4 Mbp	0.0	35-251	52.0	4.313243662700465	250.9438049663735	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722177_2	SRR9722177_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	77320.0	19.4 Mbp	0.0	35-251	50.0	6.140713916192446	250.9063631660631	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722178_1	SRR9722178_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86374.0	21.6 Mbp	0.0	39-251	52.0	4.064880635376386	250.9532266654317	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722178_2	SRR9722178_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86374.0	21.6 Mbp	0.0	39-251	50.0	5.836247018778799	250.90790052562113	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722179_1	SRR9722179_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89395.0	22.4 Mbp	0.0	40-251	53.0	3.6444991330611334	250.95656356619497	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722179_2	SRR9722179_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89395.0	22.4 Mbp	0.0	40-251	50.0	7.20510095642933	250.8288271156105	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
